      Start |        End | Src | Data (! denotes parity error)                                           | CRC | Annotation
       3264 |       6336 | Tag |50  C3  F7  0B  F7  00  00  00  00  00  71  71  1E  37                   |  ok |
       3328 |       6400 | Rdr |1D  C3  F7  0B  F7  00  08  01  00  6E  6A                               |  ok | ATTRIB
       3392 |       6464 | Rdr |05  00  08  39  73                                                       |  ok | WUPB
       3392 |       6464 | Tag |50  C3  F7  0B  F7  00  00  00  00  00  71  71  1E  37                   |  ok |
       3456 |       6528 | Rdr |05  00  08  39  73                                                       |  ok | WUPB
       3456 |       6528 | Tag |50  C3  F7  0B  F7  00  00  00  00  00  71  71  1E  37                   |  ok |
       3520 |       6592 | Rdr |1D  C3  F7  0B  F7  00  08  01  00  6E  6A                               |  ok | ATTRIB
       3584 |       6656 | Tag |00  78  F0                                                               |  ok |
       3648 |       6720 | Rdr |02  00  A4  04  00  0B  A0  00  00  03  97  43  49  44  5F  01  00  6C   |     |
            |            |     |E8                                                                       |  ok | ?
       3712 |       6784 | Tag |00  78  F0                                                               |  ok |
