   49838284 |   49841388 | Rdr |02  94  B2  04  04  1D  53  7B                                           |  ok | ?
   49834668 |   49857196 | Tag |02  6A  83  C2  5D                                                       |  ok |
   50032000 |   50035116 | Rdr |03  94  A4  00  00  02  20  50  00  F6  82                               |  ok | Contract list
   49960364 |   50025899 | Tag |03  85  17  1E  04  02  1D  01  1F  12  00  00  01  03  01  01  00  00   |     | ATS 
            |            |     |00  00  00  00  00  00  00  00  90  00  33  5C                           |  ok |
   50258828 |   50261932 | Rdr |02  94  B2  01  04  1D  EE  42                                           |  ok | ?
   50173868 |   50239403 | Tag |02  2C  1F  F2  1C  1F  FE  20  00  00  00  00  00  00  00  00  00  00   |     |Record
            |            |     |00  00  00  00  00  00  00  00  00  00  00  00  90  00  CC  81           |  ok |
   50489036 |   50492140 | Rdr |03  94  B2  02  04  1D  A1  A9                                           |  ok | ?
   50485420 |   50507948 | Tag |03  6A  83  1E  07                                                       |  ok |
   50669376 |   50672492 | Rdr |02  94  A4  00  00  02  20  F0  00  F4  60                               |  ok | ?
   50669228 |   50691756 | Tag |02  6A  82  4B  4C                                                       |  ok |
   50859168 |   50862284 | Rdr |03  94  A4  00  00  02  31  00  00  48  8E                               |  ok | ?
   50857772 |   50880300 | Tag |03  6A  82  97  16                                                       |  ok |
   51048992 |   51052108 | Rdr |02  94  A4  00  00  02  31  04  00  D5  A4                               |  ok | ?
   51047596 |   51070124 | Tag |02  6A  82  4B  4C                                                       |  ok |
   51238816 |   51241932 | Rdr |03  94  A4  00  00  02  31  02  00  F8  BD                               |  ok | ?
   51237420 |   51259948 | Tag |03  6A  82  97  16                                                       |  ok |
   51442400 |   51445516 | Rdr |02  94  A4  00  00  02  31  15  00  9C  28                               |  ok | ?
   51440876 |   51463404 | Tag |02  6A  82  4B  4C                                                       |  ok |
   51632128 |   51635244 | Rdr |03  94  A4  00  00  02  31  20  00  7B  AD                               |  ok | ?
   51630572 |   51653100 | Tag |03  6A  82  97  16                                                       |  ok |
   51821920 |   51825036 | Rdr |02  94  A4  00  00  02  31  13  00  4C  7C                               |  ok | ?
   51820396 |   51842924 | Tag |02  6A  82  4B  4C                                                       |  ok |
   52025280 |   52028396 | Rdr |03  94  A4  00  00  02  31  23  00  13  87                               |  ok | ?
   52023788 |   52046316 | Tag |03  6A  82  97  16                                                       |  ok |
   52215136 |   52218252 | Rdr |02  94  A4  00  00  02  31  33  00  7F  5F                               |  ok | ?
   52213740 |   52236268 | Tag |02  6A  82  4B  4C                                                       |  ok |
   52418592 |   52421708 | Rdr |03  94  A4  00  00  02  31  69  00  05  3C                               |  ok | ?
   52417132 |   52439660 | Tag |03  6A  82  97  16                                                       |  ok |
   52608320 |   52611436 | Rdr |02  94  A4  00  00  02  31  50  00  42  10                               |  ok | ?
   52606828 |   52629356 | Tag |02  6A  82  4B  4C                                                       |  ok |
   52811808 |   52814924 | Rdr |03  94  A4  00  00  02  31  F0  00  40  F2                               |  ok | ?
   52810348 |   52832876 | Tag |03  6A  82  97  16                                                       |  ok |
   53015136 |   53018252 | Rdr |02  94  A4  00  00  02  21  00  00  20  46                               |  ok | ?
   53013676 |   53036204 | Tag |02  6A  82  4B  4C                                                       |  ok |
   53218592 |   53221708 | Rdr |03  94  A4  00  00  02  21  04  00  BD  6C                               |  ok | ?
   53217068 |   53239596 | Tag |03  6A  82  97  16                                                       |  ok |
   53421952 |   53425068 | Rdr |02  94  A4  00  00  02  21  01  00  F8  5F                               |  ok | ?
   53420460 |   53442988 | Tag |02  6A  82  4B  4C                                                       |  ok |
   53611776 |   53614892 | Rdr |03  94  A4  00  00  02  21  10  00  4C  9E                               |  ok | ?
   53610284 |   53632812 | Tag |03  6A  82  97  16                                                       |  ok |
   53801600 |   53804716 | Rdr |02  94  A4  00  00  02  21  50  00  D7  95                               |  ok | ?
   53800108 |   53822636 | Tag |02  6A  82  4B  4C                                                       |  ok |
   53991584 |   53994700 | Rdr |03  94  A4  00  00  02  21  20  00  EE  28                               |  ok | ?
   53990188 |   54012716 | Tag |03  6A  82  97  16                                                       |  ok |
   54181280 |   54184396 | Rdr |02  94  A4  00  00  02  21  69  00  6D  F4                               |  ok | ?
   54179884 |   54202412 | Tag |02  6A  82  4B  4C                                                       |  ok |
   54371104 |   54374220 | Rdr |03  94  A4  00  00  02  21  40  00  BB  4D                               |  ok | ?
   54369580 |   54392108 | Tag |03  6A  82  97  16                                                       |  ok |
   54561056 |   54564172 | Rdr |02  94  A4  00  00  02  21  F0  00  28  3A                               |  ok | ?
   54559532 |   54582060 | Tag |02  6A  82  4B  4C                                                       |  ok |
   54750752 |   54753868 | Rdr |03  94  A4  00  00  02  10  00  00  AF  D7                               |  ok | ?
   54749292 |   54771820 | Tag |03  6A  82  97  16                                                       |  ok |
   54940704 |   54943820 | Rdr |02  94  A4  00  00  02  10  04  00  32  FD                               |  ok | ?
   54939308 |   54961836 | Tag |02  6A  82  4B  4C                                                       |  ok |
   55130496 |   55133612 | Rdr |03  94  A4  00  00  02  10  14  00  5E  25                               |  ok | ?
   55129068 |   55151596 | Tag |03  6A  82  97  16                                                       |  ok |
   55320320 |   55323436 | Rdr |02  94  A4  00  00  02  10  15  00  7B  71                               |  ok | ?
   55318892 |   55341420 | Tag |02  6A  82  4B  4C                                                       |  ok |
   55510176 |   55513292 | Rdr |03  94  A4  00  00  02  80  00  00  D6  5E                               |  ok | ?
   55508716 |   55531244 | Tag |03  6A  82  97  16                                                       |  ok |
   55700000 |   55703116 | Rdr |02  94  A4  00  00  02  80  04  00  4B  74                               |  ok | ?
   55698540 |   55721068 | Tag |02  6A  82  4B  4C                                                       |  ok |
   55889824 |   55892940 | Rdr |03  94  A4  00  00  02  80  30  00  74  E8                               |  ok | ?
   55888364 |   55910892 | Tag |03  6A  82  97  16                                                       |  ok |
   56079680 |   56082796 | Rdr |02  94  A4  00  00  02  80  10  00  BA  86                               |  ok | ?
   56078188 |   56100716 | Tag |02  6A  82  4B  4C                                                       |  ok |
   56800800 |   56803884 | Rdr |B3  68  77                                                               |  ok | ?
   56801580 |   56815916 | Tag |A2  60  76                                                               |  ok |
   57505920 |   57509004 | Rdr |B3  68  77                                                               |  ok | ?
   57506604 |   57520940 | Tag |A2  60  76                                                               |  ok |
   58211072 |   58214156 | Rdr |B3  68  77                                                               |  ok | ?
   58211756 |   58226092 | Tag |A2  60  76                                                               |  ok |
   58916160 |   58919244 | Rdr |B3  68  77                                                               |  ok | ?
   58916844 |   58931180 | Tag |A2  60  76                                                               |  ok |
   59621248 |   59624332 | Rdr |B3  68  77                                                               |  ok | ?
   59621996 |   59636332 | Tag |A2  60  76                                                               |  ok |
   60326336 |   60329420 | Rdr |B3  68  77                                                               |  ok | ?
   60327148 |   60341484 | Tag |A2  60  76                                                               |  ok |
   61031392 |   61034476 | Rdr |B3  68  77                                                               |  ok | ?
   61032236 |   61046572 | Tag |A2  60  76                                                               |  ok |
   61736640 |   61739724 | Rdr |B3  68  77                                                               |  ok | ?
   61737388 |   61751724 | Tag |A2  60  76                                                               |  ok |
   62441760 |   62444844 | Rdr |B3  68  77                                                               |  ok | ?
   62442476 |   62456812 | Tag |A2  60  76                                                               |  ok |
   63146720 |   63149804 | Rdr |B3  68  77                                                               |  ok | ?
   63147500 |   63161836 | Tag |A2  60  76                                                               |  ok |
   63851904 |   63854988 | Rdr |B3  68  77                                                               |  ok | ?
   63852652 |   63866988 | Tag |A2  60  76                                                               |  ok |
   64556992 |   64560076 | Rdr |B3  68  77                                                               |  ok | ?
